factor_time,long_symbol,long_signal,long_return,short_symbol,short_signal,short_asset_return,universe_size,short_return,portfolio_return,static_capital,drawdown
2020-11-06 00:00:00+00:00,VETUSDT,-0.006265009919599107,0.02470516470109807,RSRUSDT,0.01762977473065619,0.03924914675767921,20,-0.03924914675767921,-0.01454398205658114,0.9854560179434189,0.0
2020-11-06 01:00:00+00:00,ADAUSDT,-0.008833922261484162,0.012232415902140747,VETUSDT,0.02563833140695615,0.012501240202401176,20,-0.012501240202401176,-0.00026882430026042847,0.9851871936431584,-0.000272791778999415
2020-11-06 02:00:00+00:00,UNIUSDT,-0.026534427251012516,-0.014885790059029902,BTCUSDT,0.005407353494933487,-0.013677685263665196,20,0.013677685263665196,-0.0012081047953647062,0.9839790888477937,-0.0014987265476417155
2020-11-06 03:00:00+00:00,THETAUSDT,-0.005237459663113064,0.01552959501557627,YFIUSDT,0.02070567399395773,0.04321112515802783,20,-0.04321112515802783,-0.02768153014245156,0.9562975587053422,-0.029588798187998755
2020-11-06 04:00:00+00:00,YFIUSDT,-0.010638075774832889,-0.004353871001148035,THETAUSDT,0.007320097148388882,0.0007975827108608335,20,-0.0007975827108608335,-0.005151453712008869,0.9511461049933333,-0.03481628030613493
2020-11-06 05:00:00+00:00,YFIUSDT,-0.017093506085480326,0.0522359158436112,BTCUSDT,0.0012901008681465154,0.003255511591361726,20,-0.003255511591361726,0.048980404252249476,1.0001265092455829,0.0
2020-11-06 06:00:00+00:00,YFIUSDT,-0.027643234462383925,-0.001980116809015109,SUSHIUSDT,0.010101010101010166,0.005424954792043302,20,-0.005424954792043302,-0.0074050716010584106,0.9927214376445244,-0.007404134909536952
2020-11-06 07:00:00+00:00,YFIUSDT,-0.032629014689864344,-0.02069602801054904,DOGEUSDT,0.0006234413965087171,-0.011902146048487494,20,0.011902146048487494,-0.008793881962061545,0.9839275556824628,-0.01619690450495037
2020-11-06 08:00:00+00:00,LINKUSDT,-0.009719452457937261,0.003344422108765066,YFIUSDT,0.013738580241043241,0.03070379770805509,20,-0.03070379770805509,-0.027359375599290026,0.9565681800831728,-0.04355281932809385
2020-11-06 09:00:00+00:00,YFIUSDT,-0.0031495078112295793,0.047052818158473286,ETHUSDT,0.021202301102821064,0.025817794845694797,20,-0.025817794845694797,0.02123502331277849,0.9778032033959513,-0.02232048210227977
2020-11-06 10:00:00+00:00,ETHUSDT,-0.00765048830287085,-9.020792927705301e-05,RSRUSDT,0.01949317738791434,0.03286034353995504,20,-0.03286034353995504,-0.03295055146923209,0.9448526519267192,-0.055266865549397304
2020-11-06 11:00:00+00:00,YFIUSDT,-0.03182055821730112,-0.00802181273737479,BTCUSDT,0.010364461596999552,-0.007632754444413137,20,0.007632754444413137,-0.0003890582929616526,0.9444635936337575,-0.05565587462911381
2020-11-06 12:00:00+00:00,BTCUSDT,-0.0038970715810341394,0.01498301355679943,UNIUSDT,0.13735686231122424,0.05511873877469564,20,-0.05511873877469564,-0.04013572521789621,0.9043278684158613,-0.09578652294896628
2020-11-06 13:00:00+00:00,BTCUSDT,0.0055542090669913335,-0.014376756450732664,YFIUSDT,0.12722616876143045,-0.01047693973148045,20,0.01047693973148045,-0.0038998167192522137,0.9004280516966091,-0.09968584636775446
2020-11-06 14:00:00+00:00,RSRUSDT,-0.04871794871794877,0.0022404779686331366,UNIUSDT,0.03826024183360399,-0.026763039656182763,20,0.026763039656182763,0.0290035176248159,0.929431569321425,-0.07068599749194193
2020-11-06 15:00:00+00:00,YFIUSDT,-0.03148988559209409,0.02098396349822007,LINKUSDT,0.024485217084952104,0.02138423825170821,20,-0.02138423825170821,-0.000400274753488139,0.9290312945679369,-0.07108622161337841
2020-11-06 16:00:00+00:00,UNIUSDT,-0.041942793620932894,-0.0045600539275941765,RSRUSDT,0.009751773049645474,-0.002873563218390829,20,0.002873563218390829,-0.0016864907092033476,0.9273448038587335,-0.07277249899290261
2020-11-06 17:00:00+00:00,BTCUSDT,-0.006564851180303255,-0.0004144502843930198,YFIUSDT,0.015710958416251586,0.014328012636615428,20,-0.014328012636615428,-0.014742462921008448,0.9126023409377251,-0.08751309709196609
2020-11-06 18:00:00+00:00,YFIUSDT,-0.013826825812016552,0.018984545007350917,RSRUSDT,0.03829416884247161,-0.01664254703328516,20,0.01664254703328516,0.03562709204063608,0.9482294329783612,-0.0518905116377415
2020-11-06 19:00:00+00:00,RSRUSDT,-0.005029337803855727,0.003679175864606199,XLMUSDT,0.01753943217665621,-0.005533501744256042,20,0.005533501744256042,0.00921267760886224,0.9574421105872234,-0.042678999370346915
2020-11-06 20:00:00+00:00,YFIUSDT,-0.05172739350425415,-0.012236639692656204,ZILUSDT,0.012339055793991527,0.012072434607645954,20,-0.012072434607645954,-0.024309074300302158,0.9331330362869212,-0.06698499873700603
2020-11-06 21:00:00+00:00,ZILUSDT,-0.009009009009009028,0.009443339960238717,BTCUSDT,0.02020782451483427,0.003964404055048387,20,-0.003964404055048387,0.00547893590519033,0.9386119721921116,-0.061506755880186614
2020-11-06 22:00:00+00:00,RSRUSDT,-0.009282700421940793,0.002043596730245234,YFIUSDT,0.01426581080564393,0.00860033769976809,20,-0.00860033769976809,-0.006556740969522856,0.9320552312225887,-0.06806266746628065
2020-11-06 23:00:00+00:00,RSRUSDT,-0.0017035775127769437,0.029231815091774305,YFIUSDT,0.06373912480046173,0.16919840254050533,20,-0.16919840254050533,-0.13996658744873103,0.7920886437738577,-0.2080115500874511
2020-11-07 00:00:00+00:00,BTCUSDT,-0.006759742343129371,0.004911668769257194,UNIUSDT,0.059323882224645574,0.09230883389604139,20,-0.09230883389604139,-0.0873971651267842,0.7046914786470735,-0.29539766006338786
2020-11-07 01:00:00+00:00,YFIUSDT,-0.04024456521739128,-0.04875416905136509,VETUSDT,0.012501240202401176,0.019426863572433062,20,-0.019426863572433062,-0.06818103262379815,0.6365104460232753,-0.3635700682472571
2020-11-07 02:00:00+00:00,RSRUSDT,-0.022969647251845693,-0.007591442374050961,ZILUSDT,0.0,-0.004358353510896085,20,0.004358353510896085,-0.003233088863154876,0.6332773571601205,-0.3668027481465167
2020-11-07 03:00:00+00:00,XRPUSDT,0.002412739263310204,-0.004010897532919611,YFIUSDT,0.04321112515802783,0.01675768122899668,20,-0.01675768122899668,-0.02076857876191629,0.6125087783982042,-0.38756869982355246
2020-11-07 04:00:00+00:00,RSRUSDT,-0.005723630417007297,0.004982206405693912,BNBUSDT,0.009602918777230629,0.006493708679151222,20,-0.006493708679151222,-0.0015115022734573103,0.6109972761247469,-0.38908001090218536
2020-11-07 05:00:00+00:00,THETAUSDT,-0.00659013931247987,-0.00570464521110059,YFIUSDT,0.0522359158436112,-0.00685375422718304,20,0.00685375422718304,0.0011491090160824502,0.6121463851408293,-0.387931047240629
