bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
0,49031,-4.2448989318428545,-1.530183781149438,-2.228515373615291,-0.0003864914343013104,0.02231038127906293,0.00010075616220444715,,
1,49031,-1.530183781149438,-1.0369252702113183,-1.2506450507296802,-0.00013276962273389475,0.016673875458599444,7.530107528283169e-05,,
2,49031,-1.0369252702113183,-0.777943915595256,-0.8971970717530916,-2.7652588354973477e-05,0.015109849045735665,6.823775812229406e-05,,
3,49031,-0.777943915595256,-0.6061400785027484,-0.6874589151266878,7.813021832679303e-05,0.017704500568675376,7.995549285929133e-05,,
4,49030,-0.6061400785027484,-0.4769579482539823,-0.5391515281129572,1.5230859382826166e-05,0.013247950738878876,5.982982849825802e-05,,
5,49031,-0.4769579482539823,-0.37169048128626325,-0.4229278238909793,9.855438080670757e-05,0.01273512063973813,5.751322063127698e-05,,
6,49031,-0.37169048128626325,-0.28134203304011035,-0.3256903672900265,-1.1368595073692077e-06,0.012496659856219542,5.643630522211964e-05,,
7,49031,-0.28134203304011035,-0.19769736553127099,-0.2391296014701797,8.958544003055959e-05,0.012294296202840267,5.552240846575622e-05,,
8,49030,-0.19769736553127099,-0.11720447508229617,-0.1574619180606426,3.101251864399427e-05,0.01215573444816051,5.489720800134535e-05,,
9,49031,-0.11720447508229617,-0.03542181565586802,-0.07649588944868115,0.00010528751341107742,0.012746389708552186,5.7564112998875725e-05,,
10,49031,-0.03542181565586802,0.048813228953052006,0.00647045216929291,-2.8314172849628538e-05,0.012234869056442787,5.525402886583468e-05,,
11,49031,0.048813228953052006,0.13622385112596708,0.09240056615912978,-5.589152850234688e-05,0.012523551380321149,5.655775033461751e-05,,
12,49030,0.13622385112596708,0.22827369239580542,0.18186857780382937,-3.772694636324297e-05,0.012032841203297933,5.43422027851692e-05,,
13,49031,0.22827369239580542,0.3285954915257393,0.2772780090057536,-3.395431840457926e-05,0.01244302608401098,5.6194089144111436e-05,,
14,49031,0.3285954915257393,0.4442486855361002,0.3846161321291557,2.589216714985617e-06,0.012555590274451292,5.6702441542421177e-05,,
15,49031,0.4442486855361002,0.5868487410507509,0.5124391303603533,-1.533080354079e-05,0.012936919541595922,5.842456690698335e-05,,
16,49030,0.5868487410507509,0.7778045202856214,0.676604530761974,9.246464594662051e-05,0.013138640676474295,5.93361670697318e-05,,
17,49031,0.7778045202856214,1.0697750976181912,0.9107196387932358,9.733679616606904e-05,0.014189832734410619,6.408286217788476e-05,,
18,49031,1.0697750976181912,1.6483500442360968,1.317488649574864,6.66516268517397e-05,0.01597914400418188,7.216359079817534e-05,,
19,49031,1.6483500442360968,4.245116284535542,2.466693493023757,8.468249906827792e-06,0.024831696077213958,0.0001121427001391161,,
