factor_time,long_return,short_asset_return,portfolio_return,short_return,equity,drawdown
2021-01-12 00:00:00+00:00,-0.018125835934016843,-0.004917445533591747,-0.013208390400425096,0.004917445533591747,0.9867916095995749,0.0
2021-01-12 01:00:00+00:00,0.017302084458364897,0.020500532481363187,-0.0031984480229982903,-0.020500532481363187,0.9836354079267399,-0.0031984480229982903
2021-01-12 02:00:00+00:00,0.031233998975934263,0.017004946803763632,0.014229052172170631,-0.017004946803763632,0.9976316074645238,0.0
2021-01-12 03:00:00+00:00,0.014992416287481047,-0.0072107369123042275,0.022203153199785275,0.0072107369123042275,1.0197821748820066,0.0
2021-01-12 04:00:00+00:00,0.023463242127623518,0.015424545791620226,0.008038696336003293,-0.015424545791620226,1.027979894114752,0.0
2021-01-12 05:00:00+00:00,0.013020212004499099,0.017532029669588667,-0.004511817665089568,-0.017532029669588667,1.0233418362691282,-0.004511817665089457
2021-01-12 06:00:00+00:00,0.0,0.0041938125830840445,-0.0041938125830840445,-0.0041938125830840445,1.0190501323993864,-0.00868670853047715
2021-01-12 07:00:00+00:00,-0.02608063930257909,-0.025431598733454908,-0.0006490405691241818,0.025431598733454908,1.0183887275214878,-0.009330111073352909
2021-01-12 08:00:00+00:00,-0.006297229219143552,0.014132426066474801,-0.020429655285618353,-0.014132426066474801,0.9975833968714642,-0.029569155405966163
2021-01-12 09:00:00+00:00,-0.021500527018298077,-0.017898563268132328,-0.0036019637501657487,0.017898563268132328,0.993990137638166,-0.03306461213023659
2021-01-12 10:00:00+00:00,0.011899495709103647,0.008719300547491038,0.003180195161612609,-0.008719300547491038,0.9971512202645736,-0.029989568888141194
2021-01-12 11:00:00+00:00,-0.015075019554860347,-0.015519125683060131,0.0004441061281997838,0.015519125683060131,0.997594061232235,-0.029558781311266547
2021-01-12 12:00:00+00:00,-0.0517133441217118,-0.05960195530726253,0.007888611185550731,0.05960195530726253,1.0054636929023106,-0.021903347858599154
2021-01-12 13:00:00+00:00,0.004571442807139947,0.002747935939520607,0.00182350686761934,-0.002747935939520607,1.00729716285146,-0.020119781896223765
2021-01-12 14:00:00+00:00,0.012870746949707357,0.01381441425065888,-0.0009436673009515228,-0.01381441425065888,1.0063466094565359,-0.021044462816897536
2021-01-12 15:00:00+00:00,0.0219503266501464,0.04270001401148926,-0.02074968736134286,-0.04270001401148926,0.9854652319331654,-0.04135748415410234
2021-01-12 16:00:00+00:00,0.0038633385964321754,-0.010132695699522909,0.013996034295955084,0.010132695699522909,0.9992578371167733,-0.027940290624762443
2021-01-12 17:00:00+00:00,-0.010484927916120546,-0.0020568503880511457,-0.0084280775280694,0.0020568503880511457,0.9908360145950222,-0.03613288521728952
2021-01-12 18:00:00+00:00,0.0013245033112581073,-0.014959945951163012,0.01628444926242112,0.014959945951163012,1.0069712334020746,-0.02043684009089408
2021-01-12 19:00:00+00:00,0.009603080936704256,-0.0024250440917106264,0.012028125028414882,0.0024250440917106264,1.019083209297452,-0.008654531930278098
2021-01-12 20:00:00+00:00,-0.0006554862103832493,0.006629834254143541,-0.00728532046452679,-0.006629834254143541,1.0116588615377016,-0.01587680135622238
2021-01-12 21:00:00+00:00,-0.02081987766422233,-0.01687253848907999,-0.003947339175142339,0.01687253848907999,1.007665500881674,-0.019761469411395338
2021-01-12 22:00:00+00:00,0.008239632175536027,0.007087350697942307,0.0011522814775937196,-0.007087350697942307,1.00882661517395,-0.018631958708974494
2021-01-12 23:00:00+00:00,-0.036679990594874146,-0.023723251521159505,-0.01295673907371464,0.023723251521159505,0.9957555119505224,-0.03134728835526468
2021-01-13 00:00:00+00:00,0.027720724264009844,0.022914154149764165,0.0048065701142456785,-0.022914154149764165,1.000541680635359,-0.02669139118039021
2021-01-13 01:00:00+00:00,-0.0026823402686747544,-0.00435869953554846,0.001676359266873706,0.00435869953554846,1.0022189479535857,-0.025059776274467316
2021-01-13 02:00:00+00:00,0.009710860495199203,0.008970862638151278,0.0007399978570479249,-0.008970862638151278,1.0029605878273642,-0.0243383225981606
2021-01-13 03:00:00+00:00,-0.027007236388697398,0.0009454029780195938,-0.02795263936671699,-0.0009454029780195938,0.9749251922167954,-0.05161064161050033
2021-01-13 04:00:00+00:00,0.012849964106245393,0.09090909090909083,-0.07805912680284544,-0.09090909090909083,0.8988233830142561,-0.12564108679549557
2021-01-13 05:00:00+00:00,0.01568811648661339,0.012618184403213162,0.0030699320834002286,-0.012618184403213162,0.9015827097550819,-0.12295686431544206
2021-01-13 06:00:00+00:00,0.027910728690508257,0.028731115186446665,-0.0008203864959384077,-0.028731115186446665,0.9008430634750273,-0.12367637866031311
2021-01-13 07:00:00+00:00,-0.004806881430257981,0.010572687224669641,-0.015379568654927622,-0.010572687224669641,0.8869884857329978,-0.13715385795864166
2021-01-13 08:00:00+00:00,-0.010943661632170532,0.006401400018421377,-0.01734506165059191,-0.006401400018421377,0.8716036157645938,-0.15211997748732442
2021-01-13 09:00:00+00:00,0.03910994097413889,0.009962617214982483,0.029147323759156407,-0.009962617214982483,0.8970085285429358,-0.12740654396222661
