bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
0,49031,-4.2448989318428545,-1.530183781149438,-2.228515373615291,-0.00014239561983111007,0.02260016175367858,0.00010206484304404608,,
1,49031,-1.530183781149438,-1.0369252702113183,-1.2506450507296802,3.3243063622090276e-05,0.019658263317943587,8.877890264382113e-05,,
2,49031,-1.0369252702113183,-0.777943915595256,-0.8971970717530916,-7.334005244055495e-07,0.014792389058679599,6.680407352725489e-05,,
3,49031,-0.777943915595256,-0.6061400785027484,-0.6874589151266878,2.9373561910629434e-05,0.014324830780822667,6.469252836383831e-05,,
4,49030,-0.6061400785027484,-0.4769579482539823,-0.5391515281129572,-2.527381827018416e-05,0.013470568876968955,6.083520701189054e-05,,
5,49031,-0.4769579482539823,-0.37169048128626325,-0.4229278238909793,3.875426891634543e-06,0.013040123974350297,5.8890649599015875e-05,,
6,49031,-0.37169048128626325,-0.28134203304011035,-0.3256903672900265,4.3782412569652935e-07,0.012654699100025358,5.715002801709985e-05,,
7,49031,-0.28134203304011035,-0.19769736553127099,-0.2391296014701797,-2.9429682907147842e-05,0.01211459635404144,5.471086397051801e-05,,
8,49030,-0.19769736553127099,-0.11720447508229617,-0.1574619180606426,-1.968229896876225e-05,0.011997150162660656,5.418101643398615e-05,,
9,49031,-0.11720447508229617,-0.03542181565586802,-0.07649588944868115,-1.6000788717580504e-05,0.012197303500741722,5.508437863995223e-05,,
10,49031,-0.03542181565586802,0.048813228953052006,0.00647045216929291,-3.518469786367368e-05,0.012411141555330709,5.6050095067840915e-05,,
11,49031,0.048813228953052006,0.13622385112596708,0.09240056615912978,6.2349398450034845e-06,0.012237540437170732,5.526609311819182e-05,,
12,49030,0.13622385112596708,0.22827369239580542,0.18186857780382937,5.871222424588369e-05,0.011975486188620054,5.408317852101474e-05,,
13,49031,0.22827369239580542,0.3285954915257393,0.2772780090057536,0.00012053670666364028,0.012831844744665108,5.795003744239299e-05,,
14,49031,0.3285954915257393,0.4442486855361002,0.3846161321291557,-5.7681224365624765e-05,0.012569914477034446,5.6767131233774506e-05,,
15,49031,0.4442486855361002,0.5868487410507509,0.5124391303603533,3.415444525180375e-05,0.017977727242929172,8.118941489609362e-05,,
16,49030,0.5868487410507509,0.7778045202856214,0.676604530761974,7.506163854812642e-05,0.013340891624219212,6.024956414945347e-05,,
17,49031,0.7778045202856214,1.0697750976181912,0.9107196387932358,3.24436689301966e-05,0.014125901151447563,6.379414004165406e-05,,
18,49031,1.0697750976181912,1.6483500442360968,1.317488649574864,-8.780471074602782e-05,0.015726267688717422,7.102157324410912e-05,,
19,49031,1.6483500442360968,4.245116284535542,2.466693493023757,-8.874282589092206e-06,0.021388467420342634,9.659269672504181e-05,,
