bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
60,1997,-1.0449306715771673,-1.034912877285101,-1.0398827346943997,-0.0003833583549910711,0.014069282712197257,0.00031483494021031423,,
61,1997,-1.034912877285101,-1.0248176454583193,-1.0298909028756875,-0.00031976846834556676,0.014672174424811784,0.00032832613092536987,,
62,1997,-1.0248176454583193,-1.0149322712536328,-1.0198078659184102,-0.00040737648463977556,0.014043163461533918,0.0003142504574837143,,
63,1997,-1.0149322712536328,-1.0052009480522697,-1.0099309919713644,0.0003066628249098146,0.013228370613707676,0.00029601745564725434,,
64,1997,-1.0052009480522697,-0.9961724942215519,-1.0005946901442262,0.00047463657911675245,0.015359084490276892,0.0003436974397414961,,
65,1997,-0.9961724942215519,-0.98664738162773,-0.9913700446690176,0.0004401001328425412,0.01802312941204809,0.0004033120228599583,,
66,1997,-0.98664738162773,-0.9773764225714854,-0.9820244105089124,2.5069592430921404e-05,0.014081451658222456,0.0003151072504248886,,
67,1996,-0.9773764225714854,-0.9684573446281549,-0.9730380810336382,-3.403746335466282e-05,0.01421974104823244,0.0003182815168798968,,
68,1997,-0.9684573446281549,-0.9593744426882302,-0.9639620622466254,0.0005353629440790156,0.015232155821563615,0.0003408570973699071,,
69,1997,-0.9593744426882302,-0.9503059104697535,-0.9547736051264197,0.00045890684430203885,0.014770963205905627,0.0003305367738291596,,
70,1997,-0.9503059104697535,-0.9414748255139551,-0.9458240907342101,-0.0002321673191994374,0.013405648319237582,0.0002999844820382119,,
71,1997,-0.9414748255139551,-0.9327309400759078,-0.9369800218081731,-0.0002614643215811082,0.014312919418851414,0.0003202869131034313,,
72,1997,-0.9327309400759078,-0.9240795766886781,-0.9283876806484698,5.172599984062824e-05,0.013751029879825126,0.00030771324726396537,,
73,1997,-0.9240795766886781,-0.9155632210615535,-0.9197529531192432,0.0001536364936975341,0.01678451551973806,0.0003755949786647329,,
74,1997,-0.9155632210615535,-0.9072001631485138,-0.9113051331998656,-2.7667878244865898e-05,0.014240279007102596,0.00031866140452864336,,
75,1997,-0.9072001631485138,-0.8990918902037859,-0.9030930889340739,-0.00013911796064779833,0.015186668358277856,0.0003398392030623689,,
76,1996,-0.8990918902037859,-0.8909863874914329,-0.8949368677522818,0.0001385285128287455,0.01628482408282509,0.000364504423366284,,
77,1997,-0.8909863874914329,-0.8829929583457001,-0.8870111722919348,0.0005542061908214528,0.014534819235557465,0.00032525246941176835,,
78,1997,-0.8829929583457001,-0.8748775720311154,-0.8789467709326169,-0.00036517458711767935,0.013059041176060972,0.0002922282913758499,,
79,1997,-0.8748775720311154,-0.8673442914007627,-0.8709934887162861,2.30763795681007e-05,0.013302695965517376,0.0002976806689163168,,
80,1997,-0.8673442914007627,-0.8595142849214706,-0.8633964155938575,0.00033183873864071174,0.012875667362802453,0.0002881248495221062,,
81,1997,-0.8595142849214706,-0.8518991890151656,-0.85564173267302,4.263461211471072e-06,0.013166366898307235,0.00029462996941712896,,
82,1997,-0.8518991890151656,-0.8441642181838627,-0.8479594803580188,0.00017499844085750626,0.013733699152312819,0.00030732542944327375,,
83,1997,-0.8441642181838627,-0.8368519613605361,-0.8404615277536158,4.433917255453885e-05,0.014059994541897575,0.00031462709446573845,,
84,1997,-0.8368519613605361,-0.8291922337247172,-0.8330239711782302,-0.00017031790737396014,0.01288827160166764,0.0002884069004887896,,
85,1997,-0.8291922337247172,-0.8216649283412889,-0.8253506068217442,-0.0003500824391852315,0.014186783770429406,0.00031746431651896544,,
86,1996,-0.8216649283412889,-0.8142834936654234,-0.8179581919298676,7.896011638151959e-05,0.016312773751241686,0.0003651300228641757,,
87,1997,-0.8142834936654234,-0.8070226841396804,-0.8106180761985737,-1.0076884084320515e-05,0.013742970176875676,0.00030753289150965224,,
88,1997,-0.8070226841396804,-0.7997891647639233,-0.8034769198210441,-0.0002600813845740616,0.01674835633992723,0.0003747858277331131,,
89,1997,-0.7997891647639233,-0.7924181623306937,-0.7962073099604938,0.00021616471726161403,0.01635893684824813,0.00036607160506181574,,
90,1997,-0.7924181623306937,-0.7853365147608056,-0.7888907458888953,0.0003228504508927184,0.015636620948702,0.0003499080032849168,,
91,1997,-0.7853365147608056,-0.7784850266929595,-0.781856894095822,0.0002920386479347552,0.014930621160317391,0.00033410951478259505,,
92,1997,-0.7784850266929595,-0.7714421897182082,-0.7749199110537452,-0.0001406482087276345,0.013507029021664304,0.00030225312558173283,,
93,1997,-0.7714421897182082,-0.7646491001668155,-0.7679905253648602,0.0001925358015171876,0.016780699389140865,0.0003755095833199253,,
94,1997,-0.7646491001668155,-0.7577937510440087,-0.7612363591079779,-0.00025702713532029995,0.013157262664408849,0.00029442623970370337,,
95,1997,-0.7577937510440087,-0.7510247447727009,-0.7544514856951027,-0.0002548487659381999,0.013377152892374981,0.000299346826501958,,
96,1996,-0.7510247447727009,-0.7441494261749176,-0.7475634652597059,2.1497184230353887e-05,0.013363509090655562,0.0002991164135679425,,
97,1997,-0.7441494261749176,-0.7373921637417457,-0.7407044178272246,0.00020944250015333358,0.013765875361040028,0.0003080454515622439,,
98,1997,-0.7373921637417457,-0.7310690490996514,-0.7342225801484469,-7.099570480802953e-06,0.014048658919992685,0.0003143734319359793,,
99,1997,-0.7310690490996514,-0.7246112393291214,-0.7278270234659653,0.0007225501280881502,0.014771637774746047,0.00033055186897259267,,
