forward_hour,observations,correlation,ols_slope,r_squared,lowest_z_bin_mean_return,highest_z_bin_mean_return
1,980616,-0.01161260109910646,-0.00017758539782509393,0.0001348525042869525,0.000369441906939424,-0.0008015829716918304
2,980616,-0.0027206767686614054,-4.159297962681621e-05,7.402082079533203e-06,-0.00012768574756309123,-0.0003614203929697749
3,980616,0.004496568501245904,6.885476309731152e-05,2.0219128286400295e-05,-0.0003864914343013104,8.468249906827792e-06
4,980616,0.0009606995702016339,1.4707122338413896e-05,9.229436641854933e-07,-0.00014239561983111007,-8.874282589092206e-06
5,980616,-3.520529527810783e-05,-5.39898704701943e-07,1.239412815618553e-09,-1.1588120346985825e-05,-0.0001579314706254997
6,980616,0.0008283909128862827,1.2718802056726526e-05,6.862315045525463e-07,-0.00019328215709064772,-6.220570568592429e-05
