symbol,holding_hours,arithmetic_contribution,log_return_contribution,mean_hourly_return,hourly_volatility,positive_hour_rate,worst_hour,best_hour,share_of_rank_1_hours,share_of_arithmetic_contribution
VOXELUSDT,86,0.26154211717336606,0.23731538745939712,0.0030411874089926287,0.024019051838480982,0.5116279069767442,-0.03597122302158273,0.11556240369799697,0.001786048057153538,0.03229481680163024
TLMUSDT,150,0.25464960408995585,0.16871977172418906,0.0016976640272663723,0.03437855476920752,0.44,-0.09463722397476337,0.16102906145783713,0.003115200099686403,0.03144373992828664
BONDUSDT,121,0.25028952321765885,0.14105462225204263,0.002068508456344288,0.04354420129828882,0.4793388429752066,-0.22759884786593343,0.3257438862787616,0.0025129280804136985,0.030905363874238766
MANTAUSDT,83,0.2500237768841431,0.23447557157329874,0.0030123346612547365,0.019452057431425616,0.5903614457831325,-0.05561337487863238,0.10876510944135909,0.0017237440551598098,0.030872549927294587
LTCUSDT,355,0.24553894322172454,0.22609871702225232,0.0006916589949907733,0.010469686194109389,0.543661971830986,-0.04676996424314661,0.05356828193832608,0.007372640235924487,0.030318769591343626
1000SATSUSDT,276,0.2431973065342019,0.1861242433055557,0.000881149661355804,0.02054574186290749,0.47101449275362317,-0.061229314420803704,0.10453762205628947,0.005731968183422982,0.03002962790870827
ETHUSDT,252,0.2390415281028505,0.22563319290657205,0.000948577492471629,0.010358544361030167,0.4642857142857143,-0.02748117757909252,0.060057652291773955,0.005233536167473157,0.02951647880462078
DARUSDT,25,0.2373567477527978,0.21596958822880455,0.009494269910111913,0.04221060225357339,0.52,-0.050973379180665246,0.13829490084106633,0.0005192000166144005,0.029308444728335187
THETAUSDT,147,0.2326756509856106,0.2152999390029235,0.0015828275577252423,0.015359395810625549,0.5918367346938775,-0.06865454545454552,0.06259417491013552,0.003052896097692675,0.028730430127242065
CRVUSDT,143,0.23012996592973511,0.21014941082941518,0.0016093004610470986,0.016764436676410865,0.5244755244755245,-0.04403131115459891,0.06632390745501282,0.0029698240950343712,0.02841609286713779
TRXUSDT,838,0.22627724203635968,0.20082874536045722,0.00027002057522238626,0.007819168757895819,0.49403341288782815,-0.04260299625468167,0.06586908690869064,0.017403584556914705,0.027940364469476515
FTTUSDT,156,0.22237420472124036,0.18648101420277136,0.0014254756712900024,0.021572495858318327,0.5,-0.06967393841923686,0.09785482514120902,0.0032398081036738593,0.027458423448183365
WIFUSDT,815,0.22124071575097415,0.09257069833933376,0.0002714610009214407,0.017814317932556965,0.46748466257668714,-0.0750830564784053,0.07895053556384646,0.016925920541629457,0.027318461980267467
ENJUSDT,87,0.21829179496175755,0.20515670258410876,0.0025091010915144546,0.01735490026551108,0.5057471264367817,-0.04891205389657671,0.05390349040204301,0.001806816057818114,0.026954333794415312
