bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
0,49031,-4.2448989318428545,-1.530183781149438,-2.228515373615291,-0.00012768574756309123,0.025037991032636483,0.00011307435109256786,,
1,49031,-1.530183781149438,-1.0369252702113183,-1.2506450507296802,4.334422494596957e-05,0.016940552959858735,7.650542052628896e-05,,
2,49031,-1.0369252702113183,-0.777943915595256,-0.8971970717530916,5.4503710154982925e-05,0.01532939921775625,6.922927110754634e-05,,
3,49031,-0.777943915595256,-0.6061400785027484,-0.6874589151266878,-4.902402963642037e-06,0.014434594597016901,6.518823396072223e-05,,
4,49030,-0.6061400785027484,-0.4769579482539823,-0.5391515281129572,1.9661860780869065e-05,0.013499099260785312,6.096405471100771e-05,,
5,49031,-0.4769579482539823,-0.37169048128626325,-0.4229278238909793,3.542867772366637e-05,0.012876234942882736,5.815050851260729e-05,,
6,49031,-0.37169048128626325,-0.28134203304011035,-0.3256903672900265,-2.7495018881288036e-05,0.01243657275945341,5.6164945212963536e-05,,
7,49031,-0.28134203304011035,-0.19769736553127099,-0.2391296014701797,4.1456119137040366e-05,0.012421559372232164,5.609714308716474e-05,,
8,49030,-0.19769736553127099,-0.11720447508229617,-0.1574619180606426,-1.6430285208627928e-05,0.011870105600658272,5.360726321689937e-05,,
9,49031,-0.11720447508229617,-0.03542181565586802,-0.07649588944868115,-4.026009450804411e-05,0.012404916371643567,5.602198144622734e-05,,
10,49031,-0.03542181565586802,0.048813228953052006,0.00647045216929291,4.3085466656247646e-05,0.01231561027713997,5.5618665194877827e-05,,
11,49031,0.048813228953052006,0.13622385112596708,0.09240056615912978,1.3172008509071632e-05,0.012201569784040332,5.5103645649631175e-05,,
12,49030,0.13622385112596708,0.22827369239580542,0.18186857780382937,5.351314986118829e-06,0.011798780172699289,5.3285146369813936e-05,,
13,49031,0.22827369239580542,0.3285954915257393,0.2772780090057536,0.00014881621393005623,0.017736277317381918,8.009900018921809e-05,,
14,49031,0.3285954915257393,0.4442486855361002,0.3846161321291557,5.749103260975873e-05,0.012289129269308354,5.549907401949422e-05,,
15,49031,0.4442486855361002,0.5868487410507509,0.5124391303603533,1.886264599473617e-05,0.012836704320333604,5.797198382637341e-05,,
16,49030,0.5868487410507509,0.7778045202856214,0.676604530761974,8.197340445226487e-05,0.013012107556839696,5.8764723606791486e-05,,
17,49031,0.7778045202856214,1.0697750976181912,0.9107196387932358,6.31868631366124e-05,0.014196989198936843,6.411518156730243e-05,,
18,49031,1.0697750976181912,1.6483500442360968,1.317488649574864,-9.858539865624521e-05,0.015471672808457572,6.987179446036614e-05,,
19,49031,1.6483500442360968,4.245116284535542,2.466693493023757,-0.0003614203929697749,0.02111796100197608,9.537105966624972e-05,,
