bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
0,49031,-4.2448989318428545,-1.530183781149438,-2.228515373615291,-1.1588120346985825e-05,0.028633254741544337,0.0001293109617040785,,
1,49031,-1.530183781149438,-1.0369252702113183,-1.2506450507296802,-1.0457197364844135e-05,0.0167127509749039,7.547664143643342e-05,,
2,49031,-1.0369252702113183,-0.777943915595256,-0.8971970717530916,-0.00023544800554320836,0.014492140118467318,6.544811593319389e-05,,
3,49031,-0.777943915595256,-0.6061400785027484,-0.6874589151266878,-4.169958811213692e-06,0.014092686245596932,6.3644137834178e-05,,
4,49030,-0.6061400785027484,-0.4769579482539823,-0.5391515281129572,-2.3347108009393555e-05,0.013453640944980767,6.075875780947079e-05,,
5,49031,-0.4769579482539823,-0.37169048128626325,-0.4229278238909793,3.7242414756882695e-05,0.01269641954316961,5.733844217659378e-05,,
6,49031,-0.37169048128626325,-0.28134203304011035,-0.3256903672900265,-1.267843218374394e-05,0.012534345134003366,5.660649612623789e-05,,
7,49031,-0.28134203304011035,-0.19769736553127099,-0.2391296014701797,9.281478826588427e-05,0.012308414075784105,5.558616634951978e-05,,
8,49030,-0.19769736553127099,-0.11720447508229617,-0.1574619180606426,9.861515025306336e-05,0.012444536456798947,5.620148328039521e-05,,
9,49031,-0.11720447508229617,-0.03542181565586802,-0.07649588944868115,8.240076474694088e-06,0.01245405313264141,5.6243888521654415e-05,,
10,49031,-0.03542181565586802,0.048813228953052006,0.00647045216929291,4.8948475985140665e-05,0.012143113245170704,5.4839649421212344e-05,,
11,49031,0.048813228953052006,0.13622385112596708,0.09240056615912978,-2.393921080988185e-06,0.012228851113302358,5.522685116556995e-05,,
12,49030,0.13622385112596708,0.22827369239580542,0.18186857780382937,-6.968021520958874e-05,0.012307789554700676,5.558391276994659e-05,,
13,49031,0.22827369239580542,0.3285954915257393,0.2772780090057536,3.068763966082408e-05,0.012300015099475226,5.554823563875587e-05,,
14,49031,0.3285954915257393,0.4442486855361002,0.3846161321291557,1.4256020458146099e-06,0.01271964291182014,5.744332149126879e-05,,
15,49031,0.4442486855361002,0.5868487410507509,0.5124391303603533,9.757971116592133e-05,0.01295787914591678,5.851922281027243e-05,,
16,49030,0.5868487410507509,0.7778045202856214,0.676604530761974,3.717467801877247e-05,0.013264981427919084,5.990674176768108e-05,,
17,49031,0.7778045202856214,1.0697750976181912,0.9107196387932358,-6.955154737097913e-05,0.01399790890716105,6.321611283696682e-05,,
18,49031,1.0697750976181912,1.6483500442360968,1.317488649574864,9.145777540887371e-05,0.015655760018275015,7.070315276572762e-05,,
19,49031,1.6483500442360968,4.245116284535542,2.466693493023757,-0.0001579314706254997,0.021172254870158957,9.561625681106384e-05,,
