bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
0,49031,-4.2448989318428545,-1.530183781149438,-2.228515373615291,-0.00019328215709064772,0.025453012359775734,0.00011494863354576777,,
1,49031,-1.530183781149438,-1.0369252702113183,-1.2506450507296802,-1.281665655395549e-06,0.01691262275825168,7.63792846307019e-05,,
2,49031,-1.0369252702113183,-0.777943915595256,-0.8971970717530916,0.00010067917564898948,0.015057030917107077,6.799922558137188e-05,,
3,49031,-0.777943915595256,-0.6061400785027484,-0.6874589151266878,-1.8271632340227565e-05,0.01385325261562322,6.25628289422735e-05,,
4,49030,-0.6061400785027484,-0.4769579482539823,-0.5391515281129572,4.164066731643235e-05,0.01379620933477392,6.23058505194474e-05,,
5,49031,-0.4769579482539823,-0.37169048128626325,-0.4229278238909793,4.512824922854394e-05,0.012995157285644803,5.868757503366726e-05,,
6,49031,-0.37169048128626325,-0.28134203304011035,-0.3256903672900265,-0.00010348960729263428,0.012423483926456173,5.610583458800195e-05,,
7,49031,-0.28134203304011035,-0.19769736553127099,-0.2391296014701797,1.7690797080931232e-05,0.011999695653536367,5.419195963299518e-05,,
8,49030,-0.19769736553127099,-0.11720447508229617,-0.1574619180606426,-0.0001537321210275817,0.0123047111930505,5.55700104047268e-05,,
9,49031,-0.11720447508229617,-0.03542181565586802,-0.07649588944868115,-6.536909390600488e-07,0.012090675332682764,5.460283397865172e-05,,
10,49031,-0.03542181565586802,0.048813228953052006,0.00647045216929291,2.0273790511076483e-05,0.012540671954836019,5.663506875250006e-05,,
11,49031,0.048813228953052006,0.13622385112596708,0.09240056615912978,6.0035810295517055e-05,0.01199919622755232,5.418970416972773e-05,,
12,49030,0.13622385112596708,0.22827369239580542,0.18186857780382937,-5.0244897772884655e-05,0.012258566061461836,5.536161173512147e-05,,
13,49031,0.22827369239580542,0.3285954915257393,0.2772780090057536,0.00011342085056425448,0.012472028128327131,5.632506560053448e-05,,
14,49031,0.3285954915257393,0.4442486855361002,0.3846161321291557,7.652097763033409e-05,0.012415630287131914,5.607036667968822e-05,,
15,49031,0.4442486855361002,0.5868487410507509,0.5124391303603533,1.6559986672340275e-05,0.013105123920805022,5.9184196583549875e-05,,
16,49030,0.5868487410507509,0.7778045202856214,0.676604530761974,-1.2649068939413215e-05,0.013256045470618386,5.986638557951988e-05,,
17,49031,0.7778045202856214,1.0697750976181912,0.9107196387932358,3.404352031876814e-05,0.014356780361546008,6.483681622236747e-05,,
18,49031,1.0697750976181912,1.6483500442360968,1.317488649574864,-2.8085372353022404e-05,0.015550473523444557,7.022766724988705e-05,,
19,49031,1.6483500442360968,4.245116284535542,2.466693493023757,-6.220570568592429e-05,0.024687685001096107,0.00011149233010899097,,
